"","eventID","occurrenceID","measurementValue","measurementType","measurementUnit","eventRemarks"
"17","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011_occ11",0,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"18","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011_occ12",0,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"20","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011_occ13",0,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"21","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011_occ14",0.00101111111111111,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"26","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011_occ15",0,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"27","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011_occ16",0,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"30","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011_occ17",0,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"31","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011_occ18",0,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"32","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011_occ19",0,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"33","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011_occ20",0,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"34","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_barro_vermelho_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_barro_vermelho_2011_occ21",0,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"39","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_cahial_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_cahial_2010_occ22",0,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"40","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_sapata_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_sapata_2010_occ23",0,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"41","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_penha_2018","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_penha_2018_occ24",0.00133766233766234,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"42","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_curuba_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_curuba_2010_occ25",0,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"43","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_taci_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_taci_2010_occ26",0,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"98","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016_occ27",0.0245428571428571,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"99","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016_occ28",0.01068,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"100","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016_occ29",0.06415,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"101","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016_occ30",0.002,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
"102","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_martim_vaz_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_martim_vaz_2009_occ31",0.0028,"Percentage cover","dimensionless","Bare substrate, sediment, lost information (shade, quadrat, tape), morpho-anatomical benthic groups and turf were not included in the data because they do not represent taxonomical entities in which DwC standards are based. This implies in a measurementValue which does not add up to 1. Please contact the data curators Andre Luza and Cesar Cordeiro to have the complete dataset with verbatimIdentification"
