"","eventID","occurrenceID","basisOfRecord","scientificNameID","scientificNameAccepted","taxonRank","kingdom","phylum","class","order","family","genus","recordedBy","organismQuantityType","occurrenceStatus","licence","language"
"1","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ1","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"2","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ2","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"3","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ3","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"6","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_das_cordas_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_das_cordas_2011_occ4","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"7","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_buraco_do_inferno_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_buraco_do_inferno_2011_occ5","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"10","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011_occ6","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"11","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011_occ7","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"14","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011_occ8","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"15","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011_occ9","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"16","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_pedras_secas_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_pedras_secas_2011_occ10","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"17","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011_occ11","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"18","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011_occ12","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"20","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011_occ13","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"21","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011_occ14","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"26","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011_occ15","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"27","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011_occ16","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"30","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011_occ17","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"31","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011_occ18","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"32","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011_occ19","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"33","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_do_submarino_2011_occ20","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"34","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_barro_vermelho_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_barro_vermelho_2011_occ21","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"39","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_cahial_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_cahial_2010_occ22","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"40","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_sapata_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_sapata_2010_occ23","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"41","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_penha_2018","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_penha_2018_occ24","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"42","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_curuba_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_curuba_2010_occ25","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"43","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_taci_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:paraiba_taci_2010_occ26","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"98","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016_occ27","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"99","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_norte_2016_occ28","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"100","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016_occ29","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"101","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:espirito_santo_sul_2016_occ30","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"102","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_martim_vaz_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_martim_vaz_2009_occ31","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"103","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_martim_vaz_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_martim_vaz_2009_occ32","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"106","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_ponta_do_noroeste_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_ponta_do_noroeste_2009_occ33","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"107","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_ponta_do_noroeste_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_ponta_do_noroeste_2009_occ34","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"112","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_farilhoes_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_farilhoes_2009_occ35","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"113","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_farilhoes_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:trindade_farilhoes_2009_occ36","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"126","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:rio_de_janeiro_ilha_grande_2009","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:rio_de_janeiro_ilha_grande_2009_occ37","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"133","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:laje_santos_laje_santos_2008","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianCoast:laje_santos_laje_santos_2008_occ38","HumanObservation","urn:lsid:marinespecies.org:taxname:290423","Mussismilia hispida","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"12","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ39","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"22","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ40","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"35","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:stpauls_rocks_bay_2010_occ41","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"61","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_das_cordas_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_das_cordas_2011_occ42","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"71","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_buraco_do_inferno_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_buraco_do_inferno_2011_occ43","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"104","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011_occ44","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"111","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_morro_de_fora_2011_occ45","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"141","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011_occ46","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"151","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_laje_dois_irmaos_2011_occ47","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"161","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_pedras_secas_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_pedras_secas_2011_occ48","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"171","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011_occ49","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"181","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_baia_dos_golfinhos_2011_occ50","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"201","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011_occ51","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"211","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_ilha_do_frade_2011_occ52","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"261","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011_occ53","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"271","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_caverna_da_sapata_2011_occ54","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
"301","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011","BR:ReefSYN:RonaldoFrancini-Filho-USP:BrazilianOceanicIslands:noronha_cabeco_da_sapata_2011_occ55","HumanObservation","urn:lsid:marinespecies.org:taxname:290422","Mussismilia harttii","Species","Animalia","Cnidaria","Hexacorallia","Scleractinia","Faviidae","Mussismilia","Ronaldo Francini-Filho | Erika FC Santana | Anaide W Aued","Percentage cover","presence","CC BY","en"
