id	measurementType	measurementValue	measurementUnit
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A3_2003	Percentage cover	0	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A3_2003	Percentage cover	1	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A3_2003	Percentage cover	10	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A3_2003	Percentage cover	27	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B1_2003	Percentage cover	1	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B1_2003	Percentage cover	9	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B1_2003	Percentage cover	11	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B1_2003	Percentage cover	30	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B1_2003	Percentage cover	7	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B1_2003	Percentage cover	6	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B1_2003	Percentage cover	2	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B1_2003	Percentage cover	3	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_B2_2003	Percentage cover	8	dimensionless
