id	language	bibliographicCitation	basisOfRecord	occurrenceID	recordedBy	organismQuantityType	occurrenceStatus	eventID	verbatimIdentification	scientificNameID	kingdom	phylum	class	order	family	genus	taxonRank
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_1	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video1_occ1		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_1	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_2	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video2_occ2		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_2	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_3	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video4_occ3		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_3	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_4	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video1_occ4		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_4	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_5	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video2_occ5		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_5	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_6	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video3_occ6		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_6	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_7	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video4_occ7		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_7	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_8	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video5_occ8		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_8	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_9	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video1_occ9	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_9	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_10	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video2_occ10	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_10	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_11	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video3_occ11	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_11	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_12	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video4_occ12	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_12	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_13	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video5_occ13	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_13	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_14	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video1_occ14	Renato A Morais	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_14	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_15	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video2_occ15	Renato A Morais	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_15	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_16	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video2_occ16	Guilherme O Longo	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_16	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_17	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video3_occ17	Guilherme O Longo	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_17	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_18	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video4_occ18	Guilherme O Longo	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video4_18	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_19	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video5_occ19	Guilherme O Longo	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_19	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video6_20	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video6_occ20	Guilherme O Longo	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video6_20	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_21	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video1_occ21	Renato A Morais	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_21	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_22	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video1_occ22	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video1_22	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_23	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video2_occ23	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video2_23	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_24	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video3_occ24	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_24	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_25	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video3_occ25	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video3_25	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_26	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video5_occ26	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video5_26	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video6_27	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video6_occ27	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video6_27	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video7_28	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_cagarras_2011_Video7_occ28	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_cagarras_cagarras_2011_Video7_28	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video1_29	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_conceicao_2011_Video1_occ29	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video1_29	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video2_30	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_conceicao_2011_Video2_occ30	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video2_30	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video3_31	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_conceicao_2011_Video3_occ31	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video3_31	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video1_32	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_conceicao_2011_Video1_occ32	Renato A Morais	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video1_32	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video2_33	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_conceicao_2011_Video2_occ33	Renato A Morais	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video2_33	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video4_34	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_conceicao_2011_Video4_occ34	Renato A Morais	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video4_34	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video2_35	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_conceicao_2011_Video2_occ35	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video2_35	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video3_36	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_conceicao_2011_Video3_occ36	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video3_36	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_VIdeo4_37	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_conceicao_2011_VIdeo4_occ37	Thiago C Mendes	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_VIdeo4_37	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Filmagem1_38	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_conceicao_2011_Filmagem1_occ38		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Filmagem1_38	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_FIlmagem2_39	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_conceicao_2011_FIlmagem2_occ39		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_FIlmagem2_39	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Filmagem3_40	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_conceicao_2011_Filmagem3_occ40		Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Filmagem3_40	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video1_41	en	Aued, Anaide Wrublevski et al. (2019), Data from: Large-scale patterns of benthic marine communities in the Brazilian Province, Dryad, Dataset, https://doi.org/10.5061/dryad.f5s90	HumanObservation	BR:ReefSYN:SISBIOTA-MAR:BrazilianOceanicIslands:noronha_conceicao_2011_Video1_occ41	Guilherme O Longo	Relative cover	presence	BR:ReefSYN:SISBIOTA-MAR::BrazilianOceanicIslands_conceicao_conceicao_2011_Video1_41	calcareous.turf	urn:lsid:marinespecies.org:taxname:15308	Plantae	Rhodophyta	Florideophyceae	Corallinales	NA	NA	Order
